"date","brl","cny","mxn","brl_interpolated","cny_interpolated","mxn_interpolated"
2012-06-14,2.0724,6.3702,13.9943,FALSE,FALSE,FALSE
2012-06-15,2.0397,6.3649,13.9234,FALSE,FALSE,FALSE
2012-06-16,2.0397,6.3649,13.9234,TRUE,TRUE,TRUE
2012-06-17,2.0397,6.3649,13.9234,TRUE,TRUE,TRUE
2012-06-18,2.066,6.3539,13.9125,FALSE,FALSE,FALSE
2012-06-19,2.0352,6.3542,13.6982,FALSE,FALSE,FALSE
2012-06-20,2.0306,6.3597,13.7296,FALSE,FALSE,FALSE
2012-06-21,2.0446,6.3644,13.755,FALSE,FALSE,FALSE
2012-06-22,2.0573,6.3644,13.847,FALSE,FALSE,FALSE
2012-06-23,2.0573,6.3644,13.847,TRUE,TRUE,TRUE
2012-06-24,2.0573,6.3644,13.847,TRUE,TRUE,TRUE
2012-06-25,2.0745,6.3631,13.9675,FALSE,FALSE,FALSE
2012-06-26,2.0735,6.3626,13.8516,FALSE,FALSE,FALSE
2012-06-27,2.0791,6.3561,13.6701,FALSE,FALSE,FALSE
2012-06-28,2.0904,6.357,13.667,FALSE,FALSE,FALSE
2012-06-29,2.009,6.353,13.411,FALSE,FALSE,FALSE
2012-06-30,2.009,6.353,13.411,TRUE,TRUE,TRUE
2012-07-01,2.009,6.353,13.411,TRUE,TRUE,TRUE
2012-07-02,1.9887,6.3487,13.3813,FALSE,FALSE,FALSE
2012-07-03,1.9968,6.3519,13.2921,FALSE,FALSE,FALSE
2012-07-04,1.9968,6.3519,13.2921,TRUE,TRUE,TRUE
2012-07-05,2.0271,6.3557,13.3448,FALSE,FALSE,FALSE
2012-07-06,2.0369,6.364,13.4914,FALSE,FALSE,FALSE
2012-07-07,2.0369,6.364,13.4914,TRUE,TRUE,TRUE
2012-07-08,2.0369,6.364,13.4914,TRUE,TRUE,TRUE
2012-07-09,2.0311,6.3709,13.4518,FALSE,FALSE,FALSE
2012-07-10,2.0343,6.3654,13.3002,FALSE,FALSE,FALSE
2012-07-11,2.0367,6.3682,13.327,FALSE,FALSE,FALSE
2012-07-12,2.0477,6.3732,13.4519,FALSE,FALSE,FALSE
2012-07-13,2.0376,6.3789,13.345,FALSE,FALSE,FALSE
2012-07-14,2.0376,6.3789,13.345,TRUE,TRUE,TRUE
2012-07-15,2.0376,6.3789,13.345,TRUE,TRUE,TRUE
2012-07-16,2.0391,6.3784,13.2695,FALSE,FALSE,FALSE
